,drive_gear_V_eff,drive_gear_a_max,drive_motor_V_eff,drive_motor_a_max,drive_wheel_V_eff,drive_wheel_a_max,idle_wheel_V_eff,idle_wheel_a_max,lifting_gear_V_eff,lifting_gear_a_max,lifting_motor_V_eff,lifting_motor_a_max
drive_gear_V_eff,1.0,-0.25928848031758706,0.11891516853273527,0.08955058742388615,-0.2006279574638844,0.11535063543823511,-0.39702571535851205,0.2170486691400135,-0.061860088833444134,0.13347837178375743,-0.13800206555710484,0.05606305237975819
drive_gear_a_max,-0.25928848031758706,1.0,0.4530509280020909,0.5917082029898681,-0.3166892794511518,0.34689521193857265,0.0010997680957708959,0.36071931930311996,-0.14918906500484116,-0.10304678412913587,-0.27515959099571136,-0.008190532522329578
drive_motor_V_eff,0.11891516853273527,0.4530509280020909,1.0,0.9076659372293941,-0.641559372553563,0.8117372830489346,-0.04654531441064539,0.6053658040112518,-0.47240360320702063,-0.11303556065770971,-0.5661509936289206,-0.06229672753924818
drive_motor_a_max,0.08955058742388615,0.5917082029898681,0.9076659372293941,1.0,-0.5273902237965669,0.7790073681993238,0.01824337609690971,0.619353059731088,-0.413110926170226,-0.08963442495789073,-0.5377520413647678,-0.15904646470497041
drive_wheel_V_eff,-0.2006279574638844,-0.3166892794511518,-0.641559372553563,-0.5273902237965669,1.0,-0.49915166329627975,0.4993968567727807,-0.5238441695756523,0.4437073902503471,0.12123693013958126,0.46301507703282924,0.052616973608416426
drive_wheel_a_max,0.11535063543823511,0.34689521193857265,0.8117372830489346,0.7790073681993238,-0.49915166329627975,1.0,0.1008792288820637,0.6855293889305129,-0.47678962426750704,-0.03922740831556846,-0.422618458968002,-0.08472162948854423
idle_wheel_V_eff,-0.39702571535851205,0.0010997680957708959,-0.04654531441064539,0.01824337609690971,0.4993968567727807,0.1008792288820637,1.0,-0.19031572658370005,0.19845042814124875,-0.06693331200310827,0.17953782979272145,-0.07197974366802795
idle_wheel_a_max,0.2170486691400135,0.36071931930311996,0.6053658040112518,0.619353059731088,-0.5238441695756523,0.6855293889305129,-0.19031572658370005,1.0,-0.2615003548983961,-0.019706542125294754,-0.2738648166957767,-0.07059899862631629
lifting_gear_V_eff,-0.061860088833444134,-0.14918906500484116,-0.47240360320702063,-0.413110926170226,0.4437073902503471,-0.47678962426750704,0.19845042814124875,-0.2615003548983961,1.0,0.06063958269350809,0.42140557596425565,0.13980626095852527
lifting_gear_a_max,0.13347837178375743,-0.10304678412913587,-0.11303556065770971,-0.08963442495789073,0.12123693013958126,-0.03922740831556846,-0.06693331200310827,-0.019706542125294754,0.06063958269350809,1.0,-0.017098980211732735,0.2702223550154259
lifting_motor_V_eff,-0.13800206555710484,-0.27515959099571136,-0.5661509936289206,-0.5377520413647678,0.46301507703282924,-0.422618458968002,0.17953782979272145,-0.2738648166957767,0.42140557596425565,-0.017098980211732735,1.0,0.01916181881157066
lifting_motor_a_max,0.05606305237975819,-0.008190532522329578,-0.06229672753924818,-0.15904646470497041,0.052616973608416426,-0.08472162948854423,-0.07197974366802795,-0.07059899862631629,0.13980626095852527,0.2702223550154259,0.01916181881157066,1.0
